"event_id","pilgrimage_id","event_name","event_date","event_description"
51,1,"Annual Festival","2024-03-01T00:00:00.000Z","Celebration of the temple’s founding."
52,2,"Navaratri Celebration","2024-10-10T00:00:00.000Z","Nine nights of worship and festivities."
53,3,"Kamakya Puja","2024-06-15T00:00:00.000Z","Special rituals dedicated to Goddess Kamakya."
54,4,"Vaishno Devi Yatra","2024-03-01T00:00:00.000Z","Annual pilgrimage to Vaishno Devi."
55,5,"Krishna Janmashtami","2024-09-06T00:00:00.000Z","Celebration of Lord Krishna’s birth."
56,6,"Tripura Sundari Festival","2024-09-15T00:00:00.000Z","Worship of Goddess Tripura Sundari."
57,7,"Amarnath Yatra","2024-08-01T00:00:00.000Z","Annual pilgrimage to Amarnath Cave."
58,8,"Kedarnath Opening","2024-05-01T00:00:00.000Z","Ceremonial opening of the temple."
59,9,"Badrinath Opening","2024-05-05T00:00:00.000Z","Ceremonial opening of the temple."
60,10,"Nani Devi Fair","2024-03-15T00:00:00.000Z","Annual fair at Nani Devi Temple."
61,11,"Hinglaj Mata Mela","2024-04-20T00:00:00.000Z","Annual festival at Hinglaj Mata Temple."
62,12,"Dakshayani Devi Pooja","2024-04-10T00:00:00.000Z","Special worship for Dakshayani Devi."
63,13,"Siddhivinayak Chaturthi","2024-09-19T00:00:00.000Z","Celebration of Ganesh Chaturthi."
64,14,"Shakeshwari Temple Festival","2024-03-10T00:00:00.000Z","Annual festival at Shakeshwari Temple."
65,15,"Kali Ghat Festival","2024-10-01T00:00:00.000Z","Special rituals for Goddess Kali."
66,16,"Ram Mandir Inauguration","2024-03-15T00:00:00.000Z","Inauguration ceremony for Ram Mandir."
67,17,"Rangnath Swamy Festival","2024-10-10T00:00:00.000Z","Celebration at Rangnath Swamy Temple."
68,18,"Diwali Celebrations","2024-11-01T00:00:00.000Z","Festival of Lights at the Golden Temple."
69,19,"Gurdwara Janam Asthan Celebration","2024-11-27T00:00:00.000Z","Celebration of Guru Nanak’s birthday."
70,20,"Vaisakhi Festival","2024-04-14T00:00:00.000Z","Celebration of the harvest festival."
71,21,"Guru Nanak Jayanti","2024-11-15T00:00:00.000Z","Celebration of Guru Nanak’s birthday."
72,22,"Dasmesh Darbar Celebration","2024-10-01T00:00:00.000Z","Special events at Dasmesh Darbar."
73,23,"Hajj Season","2024-06-01T00:00:00.000Z","Pilgrimage to Mecca during Hajj."
74,24,"Prophet Muhammad’s Birthday","2024-09-28T00:00:00.000Z","Celebration in Medina."
75,25,"Shah Jahan Mosque Festival","2024-04-15T00:00:00.000Z","Special events at Shah Jahan Mosque."
76,26,"Blue Mosque Festivals","2024-06-10T00:00:00.000Z","Cultural events at the Blue Mosque."
77,27,"Al-Omari Mosque Ceremonies","2024-07-01T00:00:00.000Z","Special religious ceremonies."
78,28,"Hassan II Mosque Festival","2024-06-25T00:00:00.000Z","Cultural events at Hassan II Mosque."
79,29,"Holy Trinity Festival","2024-05-15T00:00:00.000Z","Celebration of the Holy Trinity."
80,30,"St. Basil’s Day","2024-05-30T00:00:00.000Z","Celebration at St. Basil’s Cathedral."
81,31,"Easter Celebration","2024-04-21T00:00:00.000Z","Celebration of Easter at the Holy Sepulchre."
82,32,"St. Paul’s Day","2024-06-29T00:00:00.000Z","Celebration at St. Paul’s Cathedral."
83,33,"St. Mary’s Day","2024-05-25T00:00:00.000Z","Celebration at St. Mary’s Cathedral."
84,34,"Notre Dame Festival","2024-05-15T00:00:00.000Z","Celebration at Notre Dame Cathedral."
85,35,"Emerald Buddha Festival","2024-10-01T00:00:00.000Z","Special celebrations at the temple."
86,36,"Angkor Wat Festival","2024-11-15T00:00:00.000Z","Cultural events at Angkor Wat."
87,37,"Boudha Nath Stupa Festival","2024-03-10T00:00:00.000Z","Celebration at Boudha Nath Stupa."
88,38,"Maha Bodhi Pooja","2024-04-15T00:00:00.000Z","Special rituals at Maha Bodhi Temple."
89,39,"Uluwatu Temple Festival","2024-01-15T00:00:00.000Z","Cultural events at Uluwatu Temple."
90,40,"Ranakpur Jain Festival","2024-11-10T00:00:00.000Z","Celebration at Jain Temple, Ranakpur."
91,41,"Khajuraho Festival","2024-04-10T00:00:00.000Z","Cultural events at Jain Temple, Khajuraho."
92,42,"Kulpakji Festival","2024-11-01T00:00:00.000Z","Celebration at Jain Temple, Kulpakji."
93,43,"Kirti Garbha Festival","2024-09-01T00:00:00.000Z","Celebration at Kirti Garbha Temple."
94,44,"Melbourne Jain Festival","2024-02-15T00:00:00.000Z","Cultural events at Jain Temple, Melbourne."
95,45,"Dilwara Temple Festival","2024-09-15T00:00:00.000Z","Celebration at Dilwara Temple."
96,46,"Agiary Festival","2024-10-01T00:00:00.000Z","Celebration at Agiary Mumbai."
97,47,"Fire Temple Festival","2024-10-20T00:00:00.000Z","Special events at Fire Temple of Udwada."
98,48,"Zoroastrian Centre Events","2024-04-01T00:00:00.000Z","Cultural events at Zoroastrian Centre."
99,49,"Yazd Fire Festival","2024-04-20T00:00:00.000Z","Celebration at Yazd Fire Temple."
100,50,"Sanatorium Temple Events","2024-12-15T00:00:00.000Z","Cultural events at Sanatorium Fire Temple."
